dataset,label,path,pose_rate,lh_rate,rh_rate,any_hand_rate,both_hands_rate,inter_shoulder,bbox_w,bbox_h,bbox_area,shoulder_y,nose_y,pose_visible_frac,hand_oob,hand_border,width,height,aspect,fps,frame_count,n_frames_measured,duration_s,n_frames_read
train,Respetar,dataset_videos\Respetar\Respetar_3159fe97-95f4-4531-a679-86211f5522ee.mp4,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.20850848100104843,0.3509388632244534,0.7465351336532169,0.25999526997113925,0.4249931616915597,0.2590669307443831,0.7723905723905727,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2928.0,89.0,nan,89.0
train,Aprender,dataset_videos\Aprender\Aprender_f4e4578e-7292-4331-a7f6-ece3aff0c35a.mp4,1.0,1.0,0.9111111111111111,1.0,0.9111111111111111,0.21501121821234412,0.36142190827263726,0.7694136268562741,0.2761890436246988,0.3737090763118532,0.19754519330130682,0.773737373737374,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2992.0,91.0,nan,91.0
train,Abuelo,dataset_videos\Abuelo\Abuelo_6d041c1e-3c99-43e9-96ea-f68bb6e3e891.mp4,1.0,1.0,0.9555555555555556,1.0,0.9555555555555556,0.18555784212650314,0.3657640900876787,0.6338938653469086,0.2310296772871707,0.4645052969455719,0.32034538454479644,0.7643097643097644,0.0,0.0,640.0,480.0,1.3333333333333333,30.303030303030305,nan,91.0,nan,91.0
train,e,dataset_videos\e\e_9d42642b-ea38-4433-be9f-1ff27f1a7bc4.mp4,1.0,1.0,0.9777777777777777,1.0,0.9777777777777777,0.21554223311612758,0.3646681321991814,0.6599895156092114,0.2407480709581429,0.43340165780650247,0.24277630547682444,0.7575757575757577,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2928.0,89.0,nan,89.0
train,Depender,dataset_videos\Depender\Depender_16872fbd-ca86-41bd-800b-3d99f0a540b8.mp4,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.21600428735750643,0.3846970664130317,0.7329819364680185,0.2785072102058844,0.38556935522291397,0.21134094032976364,0.7696969696969698,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2960.0,90.0,nan,90.0
train,Cuánto,dataset_videos\Cuánto\Cuánto_8e0de5ec-b923-4432-baf2-5b3044ae2721.mp4,1.0,0.8,1.0,1.0,0.8,0.20288722294653486,0.3323926203780704,0.6605550249417623,0.21917177119607328,0.39733480082617867,0.23584038615226746,0.7609427609427611,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2944.0,89.0,nan,89.0
train,Creer,dataset_videos\Creer\Creer_bfa2cbf9-e7ec-433b-9bbc-333186b5033a.mp4,1.0,0.9777777777777777,0.9555555555555556,1.0,0.9333333333333333,0.1925368167275134,0.32518591350979276,0.7070166402392917,0.23003612020904957,0.3972832014163335,0.23593604962031048,0.7777777777777779,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2976.0,90.0,nan,90.0
train,Ayer,dataset_videos\Ayer\Ayer_343fb66c-d3e4-403a-a8ee-53e9c65adacd.mp4,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,0.19948131991084186,0.36872494485643176,0.746738647752338,0.27531055047817543,0.47002914283010694,0.3076681156953176,0.7723905723905725,0.19629629629629616,0.40687830687830695,640.0,480.0,1.3333333333333333,30.303030303030305,nan,90.0,nan,90.0
train,d,dataset_videos\d\d_b15ad4fe-fddf-4d17-909b-b61c77707211.mp4,1.0,1.0,0.9777777777777777,1.0,0.9777777777777777,0.20801997019840937,0.35577474567625256,0.7007448977894253,0.24930378704982137,0.3933687878979577,0.22151299052768283,0.7575757575757577,0.0,0.0,640.0,480.0,1.3333333333333333,1000.0,2976.0,90.0,nan,90.0
train,Apoyar,dataset_videos\Apoyar\Apoyar_60a3d9ee-951c-4634-a699-4a53aab4e124.mp4,1.0,0.9777777777777777,0.9555555555555556,1.0,0.9333333333333333,0.21470194109240381,0.3371027602089776,0.755332699086931,0.25309897871601006,0.37647777166631485,0.2126687549882465,0.771717171717172,0.0,0.0,640.0,480.0,1.3333333333333333,62.5,186.0,90.0,2.976,90.0
train,Trabajar,dataset_videos\Trabajar\Trabajar_7c11020c-bca1-4e97-af82-240238c67c7e.mp4,1.0,0.9777777777777777,0.9777777777777777,1.0,0.9555555555555556,0.22033062785439267,0.3593977179792192,0.6576875819100274,0.2367193514106005,0.42166552179389527,0.2652766482697593,0.7575757575757577,0.013756613756613757,0.08095238095238096,640.0,480.0,1.3333333333333333,1000.0,2960.0,90.0,nan,90.0
train,e,dataset_videos\e\e_85d5f29c-4ede-400c-b29c-a20dbdc4b542.mp4,1.0,1.0,0.9555555555555556,1.0,0.9555555555555556,0.20967815586216235,0.3562661548455556,0.692750335070822,0.24677418855361638,0.4275485896401935,0.24658873246775734,0.7575757575757577,0.0,0.10052910052910051,640.0,480.0,1.3333333333333333,1000.0,2992.0,91.0,nan,91.0
train,ñ,dataset_videos\ñ\ñ_de539331-c20d-4d90-8144-c77a3e01e34d.mp4,1.0,1.0,0.9555555555555556,1.0,0.9555555555555556,0.5001006036418701,0.8755061570141051,0.9287460830476549,0.8145114596842282,0.8911076101991865,0.600841834810045,0.695622895622895,0.0,0.0,640.0,480.0,1.3333333333333333,30.303030303030305,nan,30.0,nan,30.0
train,Papá,dataset_videos\Papá\Papá_dda805fd-2111-4ff8-ad66-8fff5df8d1c5.mp4,1.0,1.0,0.8444444444444444,1.0,0.8444444444444444,0.24887101262962044,0.4109266721540027,0.7602411843008465,0.31233230716529337,0.42573155595196616,0.23272311488787334,0.7575757575757577,0.36719576719576724,0.5079365079365079,640.0,480.0,1.3333333333333333,1000.0,2992.0,91.0,nan,91.0
train,Amigo,dataset_videos\Amigo\Amigo_7837b01b-417b-4076-9d16-c178ae04f80f.mp4,1.0,0.9555555555555556,0.9777777777777777,1.0,0.9333333333333333,0.25314994099917965,0.4284359567695194,0.7522362702422671,0.3215015011490048,0.3885117424858941,0.18899965319368575,0.7575757575757577,0.05925925925925925,0.13439153439153434,640.0,480.0,1.3333333333333333,1000.0,2992.0,91.0,nan,91.0
